Method,Age,Fate,Top genes,AP
gStatOT,77.0 (yrs),Baso/Mast,10,0.022774382882588894
StatOT,77.0 (yrs),Baso/Mast,10,0.01845419831775242
GT-TC,77.0 (yrs),Baso/Mast,10,0.5666666666666667
gStatOT,10.0 (wks),Baso/Mast,10,0.2157130764218894
StatOT,10.0 (wks),Baso/Mast,10,0.0
GT-TC,10.0 (wks),Baso/Mast,10,0.89
gStatOT,11.0 (wks),Baso/Mast,10,0.2140435436104966
StatOT,11.0 (wks),Baso/Mast,10,0.020416287590403946
GT-TC,11.0 (wks),Baso/Mast,10,0.8169444444444445
gStatOT,13.0 (wks),Baso/Mast,10,0.23092850341814533
StatOT,13.0 (wks),Baso/Mast,10,0.0
GT-TC,13.0 (wks),Baso/Mast,10,0.7226388888888888
gStatOT,14.0 (wks),Baso/Mast,10,0.27515453900374237
StatOT,14.0 (wks),Baso/Mast,10,0.20891548306998522
GT-TC,14.0 (wks),Baso/Mast,10,0.6366071428571428
gStatOT,15.0 (wks),Baso/Mast,10,0.23592546110118442
StatOT,15.0 (wks),Baso/Mast,10,0.004892370626315581
GT-TC,15.0 (wks),Baso/Mast,10,0.6671626984126984
gStatOT,20.0 (wks),Baso/Mast,10,0.0
StatOT,20.0 (wks),Baso/Mast,10,0.00045833510069233347
GT-TC,20.0 (wks),Baso/Mast,10,0.7711904761904762
gStatOT,22.0 (wks),Baso/Mast,10,0.0
