Cell,age
BM1_bcCKJD,25yr-1
BM1_bcCEOO,25yr-1
BM1_bcBOMR,25yr-1
BM1_bcGTJM,25yr-1
BM1_bcCXFI,25yr-1
BM1_bcFAYO,25yr-1
BM1_bcALJA,25yr-1
BM1_bcICXG,25yr-1
BM1_bcDZGA,25yr-1
BM1_bcAJJT,25yr-1
BM1_bcBGMG,25yr-1
BM1_bcHFAV,25yr-1
BM1_bcFUHA,25yr-1
BM1_bcCHEV,25yr-1
BM1_bcFJRF,25yr-1
BM1_bcGQGQ,25yr-1
BM1_bcDOPH,25yr-1
BM1_bcAVOJ,25yr-1
BM1_bcCALX,25yr-1
BM1_bcIIIZ,25yr-1
BM1_bcHIAI,25yr-1
BM1_bcBNME,25yr-1
BM1_bcBFHB,25yr-1
BM1_bcCZZD,25yr-1
BM1_bcCKIE,25yr-1
BM1_bcDBDG,25yr-1
BM1_bcHTBE,25yr-1
BM1_bcFJXU,25yr-1
BM1_bcBJSO,25yr-1
BM1_bcGJTO,25yr-1
BM1_bcFZZD,25yr-1
BM1_bcDHJH,25yr-1
BM1_bcHKEB,25yr-1
BM1_bcCPUH,25yr-1
BM1_bcIJAS,25yr-1
BM1_bcHXSW,25yr-1
BM1_bcAGZS,25yr-1
BM1_bcBJAT,25yr-1
BM1_bcCVAF,25yr-1
BM1_bcHBFM,25yr-1
BM1_bcHRGJ,25yr-1
BM1_bcHTHK,25yr-1
BM1_bcEQGH,25yr-1
BM1_bcDRKW,25yr-1
BM1_bcCRGC,25yr-1
BM1_bcDRKL,25yr-1
BM1_bcDBZD,25yr-1
BM1_bcDFFL,25yr-1
BM1_bcAOLQ,25yr-1
BM1_bcBAOX,25yr-1
BM1_bcFVGW,25yr-1
BM1_bcBJDA,25yr-1
BM1_bcCLRS,25yr-1
BM1_bcDXVI,25yr-1
BM1_bcGUAG,25yr-1
BM1_bcGZIT,25yr-1
BM1_bcCHGC,25yr-1
BM1_bcFMWX,25yr-1
BM1_bcDSIO,25yr-1
BM1_bcFEWU,25yr-1
BM1_bcCPPV,25yr-1
BM1_bcFIER,25yr-1
BM1_bcGNVV,25yr-1
BM1_bcGCTK,25yr-1
BM1_bcGKBN,25yr-1
BM1_bcIDCD,25yr-1
BM1_bcCQAP,25yr-1
BM1_bcGKYL,25yr-1
BM1_bcBRKX,25yr-1
BM1_bcFNWZ,25yr-1
BM1_bcARCZ,25yr-1
BM1_bcGHDU,25yr-1
BM1_bcEEAR,25yr-1
BM1_bcCDAO,25yr-1
BM1_bcAFOU,25yr-1
BM1_bcFYEF,25yr-1
BM1_bcHUFO,25yr-1
BM1_bcBKCR,25yr-1
BM1_bcHIIU,25yr-1
BM1_bcHSVK,25yr-1
BM1_bcDWER,25yr-1
BM1_bcDJTX,25yr-1
BM1_bcCATK,25yr-1
BM1_bcCNTG,25yr-1
BM1_bcEOMA,25yr-1
BM1_bcEBUU,25yr-1
BM1_bcDNKG,25yr-1
BM1_bcBTAZ,25yr-1
